Solar System;http://bit.ly/3cVhuZc;Sun;1.0;1.0;5777.0;http://bit.ly/333CTus;Neptune;0.34440217087226543;0.05395152792413066;30.11;0.01;60225.0;http://bit.ly/38AyEba
HD 148156 System;http://bit.ly/2Iz4jPB;HD 148156;1.21;1.219950930115636;6308.0;http://bit.ly/336nzNZ;HD 148156 b;0.0;0.85;3.6651478395000005E8;0.52;1027.0;http://bit.ly/2Q2PngD
KELT-9 System;http://bit.ly/2Iz4jPB;KELT-9;2.36;2.5198986425339367;10170.0;http://bit.ly/336nzNZ;KELT-9 b;1.891;2.88;5179078.29402;0.0;1.4811235;http://bit.ly/2Q2PngD
Kepler-1136 System;http://bit.ly/2Iz4jPB;Kepler-1136;0.68;0.7199710407239819;4512.0;http://bit.ly/336nzNZ;Kepler-1136 b;0.146;0.0;0.0;0.0;2.36172433;http://bit.ly/2Q2PngD
HD 38529 System;http://bit.ly/2Iz4jPB;HD 38529;2.56;1.4099432880844647;5541.0;http://bit.ly/336nzNZ;HD 38529 b;0.0;0.797;1.93579645074E7;0.28;14.30944;http://bit.ly/2Q2PngD
HD 38529 System;http://bit.ly/2Iz4jPB;HD 38529;2.56;1.4099432880844647;5541.0;http://bit.ly/336nzNZ;HD 38529 c;0.0;12.99;5.4453625044E8;0.3407;2136.1;http://bit.ly/2Q2PngD
HD 28678 System;http://bit.ly/2Iz4jPB;HD 28678;6.48;1.5299384615384615;4972.0;http://bit.ly/336nzNZ;HD 28678 b;0.0;1.542;1.7652548778E8;0.149;380.2;http://bit.ly/2Q2PngD
Kepler-44 System;http://bit.ly/2Iz4jPB;Kepler-44;1.35;1.1199549522373053;5800.0;http://bit.ly/336nzNZ;Kepler-44 b;1.09;1.0;6672065.0466;0.066;3.2467293;http://bit.ly/2Q2PngD
WASP-170 System;http://bit.ly/2Iz4jPB;WASP-170;0.94;0.9299625942684767;5600.0;http://bit.ly/336nzNZ;WASP-170 b;1.096;1.6;5041448.2527;0.0;2.34478022;http://bit.ly/2Q2PngD
K2-122 System;http://bit.ly/2Iz4jPB;K2-122;0.6;0.6199750628456511;4027.0;http://bit.ly/336nzNZ;K2-122 b;0.108;0.0;4263539.3235;0.0;2.219282;http://bit.ly/2Q2PngD
K2-278 System;http://bit.ly/2Iz4jPB;K2-278;1.61;1.3999436902966313;6747.0;http://bit.ly/336nzNZ;K2-278 b;0.266;0.0;7300376.104800001;0.0;3.334966;http://bit.ly/2Q2PngD
Kepler-55 System;http://bit.ly/2Iz4jPB;Kepler-55;0.62;0.0;4503.0;http://bit.ly/336nzNZ;Kepler-55 b;0.217;1.49;0.0;0.0;27.9481449;http://bit.ly/2Q2PngD
Kepler-55 System;http://bit.ly/2Iz4jPB;Kepler-55;0.62;0.0;4503.0;http://bit.ly/336nzNZ;Kepler-55 c;0.197;1.11;0.0;0.0;42.1516418;http://bit.ly/2Q2PngD
Kepler-55 System;http://bit.ly/2Iz4jPB;Kepler-55;0.62;0.0;4503.0;http://bit.ly/336nzNZ;Kepler-55 d;0.142;0.0;4338338.259000001;0.0;2.211099;http://bit.ly/2Q2PngD
Kepler-55 System;http://bit.ly/2Iz4jPB;Kepler-55;0.62;0.0;4503.0;http://bit.ly/336nzNZ;Kepler-55 e;0.138;0.0;7180697.808;0.0;4.617534;http://bit.ly/2Q2PngD
Kepler-55 System;http://bit.ly/2Iz4jPB;Kepler-55;0.62;0.0;4503.0;http://bit.ly/336nzNZ;Kepler-55 f;0.142;0.0;1.2117427551E7;0.0;10.198545;http://bit.ly/2Q2PngD
Kepler-182 System;http://bit.ly/2Iz4jPB;Kepler-182;1.15;0.0;6250.0;http://bit.ly/336nzNZ;Kepler-182 b;0.23;0.0;1.4361395616E7;0.0;9.825792;http://bit.ly/2Q2PngD
Kepler-182 System;http://bit.ly/2Iz4jPB;Kepler-182;1.15;0.0;6250.0;http://bit.ly/336nzNZ;Kepler-182 c;0.306;0.0;2.3486865747E7;0.0;20.684342;http://bit.ly/2Q2PngD
Kepler-1304 System;http://bit.ly/2Iz4jPB;Kepler-1304;0.81;0.8499658119658119;5259.0;http://bit.ly/336nzNZ;Kepler-1304 b;0.204;0.0;0.0;0.0;16.1288853;http://bit.ly/2Q2PngD
Kepler-171 System;http://bit.ly/2Iz4jPB;Kepler-171;0.84;0.0;5642.0;http://bit.ly/336nzNZ;Kepler-171 b;0.209;0.0;7479893.550000001;0.0;4.166972;http://bit.ly/2Q2PngD
Kepler-171 System;http://bit.ly/2Iz4jPB;Kepler-171;0.84;0.0;5642.0;http://bit.ly/336nzNZ;Kepler-171 c;0.228;0.0;1.4660591358000001E7;0.0;11.463462;http://bit.ly/2Q2PngD
Kepler-171 System;http://bit.ly/2Iz4jPB;Kepler-171;0.84;0.0;5642.0;http://bit.ly/336nzNZ;Kepler-171 d;0.169;0.0;3.3360325233E7;0.0;39.595519;http://bit.ly/2Q2PngD
1RXS J160929.1-210524 System;http://bit.ly/2Iz4jPB;1RXS J160929.1-210524;0.0;0.8499658119658119;4060.0;http://bit.ly/336nzNZ;1RXS J160929.1-210524 b;0.0;8.0;4.936729743E10;0.0;0.0;http://bit.ly/2Q2PngD
Kepler-66 System;http://bit.ly/2Iz4jPB;Kepler-66;0.97;1.0399581699346405;5962.0;http://bit.ly/336nzNZ;Kepler-66 b;0.25;0.0;2.0225632159199998E7;0.0;17.815815;http://bit.
